Conical Smiles,O00141,O00311,O00444,O14920,O14965,O15111,O15146,O15264,O43293,O43318,O43353,O43781,O60285,O60674,O75116,O75385,O75460,O75676,O75716,O94804,O94806,O95819,O96013,O96017,P00519,P00533,P04049,P04626,P04629,P05129,P05771,P06213,P06239,P06241,P06493,P07332,P07333,P07947,P07948,P07949,P08069,P08581,P08631,P08922,P09619,P09769,P10721,P11309,P11362,P11802,P12931,P15735,P16234,P16591,P17252,P17612,P17948,P19784,P22607,P23443,P24941,P27448,P28482,P29317,P29376,P29597,P30291,P30530,P31749,P31751,P33981,P34947,P35916,P35968,P36507,P36888,P36897,P37023,P37173,P41240,P41279,P41743,P42680,P42681,P42684,P42685,P43405,P45983,P45984,P48729,P48730,P49336,P49674,P49759,P49760,P49840,P49841,P50613,P51451,P51617,P51813,P51817,P51955,P51957,P52333,P53350,P53667,P53779,P54760,P78527,P80192,Q00526,Q00534,Q00535,Q02156,Q02750,Q02763,Q04759,Q04771,Q05397,Q05513,Q05655,Q06418,Q07912,Q08881,Q12851,Q12866,Q13043,Q13131,Q13153,Q13188,Q13237,Q13315,Q13418,Q13464,Q13535,Q13555,Q13557,Q13627,Q13882,Q13976,Q14164,Q14289,Q14680,Q15118,Q15119,Q15139,Q15303,Q15349,Q15418,Q15746,Q15759,Q16288,Q16512,Q16513,Q16539,Q16584,Q16620,Q16816,Q16832,Q59H18,Q5S007,Q5VT25,Q7KZI7,Q7L7X3,Q86V86,Q8IW41,Q8N4C8,Q8N5S9,Q8NE63,Q8TDC3,Q8TF76,Q92630,Q96GD4,Q96KB5,Q96L34,Q96PF2,Q96RR4,Q96SB4,Q9BXA7,Q9BYT3,Q9BZL6,Q9H093,Q9H1R3,Q9H2G2,Q9H2X6,Q9H4B4,Q9HAZ1,Q9NWZ3,Q9NYL2,Q9NYY3,Q9P1W9,Q9UBE8,Q9UEE5,Q9UF33,Q9UHD2,Q9UK32,Q9UM73,Q9UQB9,Q9Y243,Q9Y2U5,Q9Y463,Q9Y4K4,Q9Y6E0
[O-][S+]1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3)o2)CC1,0,,,,0,0,0,,,,,,0,0,0,,,0,,0,0,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,0,,,0,0,0,0,0,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,,,,0,0,,0,0,0,,,,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,,0,,0,0,0,,0,0,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,,,,,,,,,,0,,,,0,0,0,0,0,,0,,
[O-][S+]1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6ccccc6)c(Cl)c5)c4c3)o2)CC1,0,,,,0,0,0,,,,,,0,0,0,,,0,,0,0,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,0,,,0,0,0,0,0,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,,,,0,0,,0,0,0,,,,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,,0,,0,0,0,,0,0,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,,,,,,,,,,0,,,,0,0,0,0,0,,0,,
[O-][S+]1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6ccccc6)c(F)c5)c4c3)o2)CC1,0,,,,0,0,0,,,,,,0,0,0,,,0,,0,0,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,0,,,0,0,0,0,0,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,,,,0,0,,0,0,0,,,,,0,0,0,0,1,0,0,,0,0,,,0,,,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,,0,,0,0,0,,0,0,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,,,,,,,,,,0,,,,0,0,0,0,0,,0,,
C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1,0,,,,0,0,0,,,,,,0,0,0,,,0,,1,0,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,,,,0,,,0,0,0,0,0,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,,,,0,0,,0,0,0,,,,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,,0,,0,0,0,,0,0,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,,,,,,,,,,0,,,,0,0,0,0,0,,0,,
C/C(Nc1ccc(S(N)(=O)=O)cc1)=C1/C(=O)Nc2ccccc21,0,,,,0,0,0,,,,,,0,0,0,,,0,,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,1,,,,0,,,0,0,0,0,0,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,,,,1,0,,0,0,0,,,,,0,0,0,0,0,1,0,,0,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,,,0,,1,0,0,,0,0,0,,0,,1,,0,0,,0,0,,0,0,,,0,,0,,,,,,,,,,0,,,,0,0,0,1,0,,0,,
C[C@@H](Oc1cc(-n2cnc3ccc(OC[C@@H](O)CO)cc32)sc1C(N)=O)c1ccccc1Cl,0,,,,0,0,1,,,,,,0,0,0,,,0,,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,0,,,0,0,0,0,0,,0,0,,,,,0,0,0,,0,,0,0,0,,0,,,,0,,,,0,0,,0,0,0,,,,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,,0,,0,0,0,,0,0,0,,0,,0,,0,1,,0,0,,0,0,,,0,,0,,,,,,,,,,0,,,,0,0,0,0,0,,0,,
C[C@@H](Oc1cc(-n2cnc3ccc(OC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl,0,,,,0,0,0,,,,,,,0,0,,,0,,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,0,,,0,0,0,0,0,,0,0,,,,,0,0,0,,0,,0,0,,,0,,,,0,,,,0,0,,0,0,0,,,,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,,0,,0,0,0,,0,0,0,,0,,0,,0,1,,0,0,,0,0,,,0,,0,,,,,,,,,,0,,,,0,0,0,0,0,,0,,
C[C@@H](Oc1cc(-n2cnc3ccc(OCC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F,0,,,,0,0,1,,,,,,1,0,0,,,0,,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,,0,0,0,0,,0,0,,0,,,,0,,,0,0,0,0,0,,0,0,,,,,0,0,0,,0,,0,0,1,,0,,,,0,,,,0,0,,0,0,0,,,,,0,0,0,0,0,1,0,,1,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,,0,,0,0,0,,0,0,0,,0,,0,,0,1,,0,0,,0,0,,,0,,0,,,,,,,,,,0,,,,0,1,0,0,0,,0,,
C[C@@H](Oc1cc(-n2cnc3ccc(OCC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl,0,,,,0,0,1,,,,,,1,0,0,,,0,,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,,0,,,,0,,,0,0,0,0,0,,0,0,,,,,0,0,0,,0,,0,0,1,,0,,,,0,,,,0,0,,0,0,0,,,,,0,0,0,0,0,1,0,,0,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,,0,,0,0,0,,0,0,0,,1,,0,,0,1,,0,0,,0,0,,,0,,0,,,,,,,,,,0,,,,0,0,0,0,0,,0,,
c1cc(-c2cnn3nc(N4CCOCC4)ccc23)nc(NC2CC2)n1,0,,,,0,0,0,,,,,,0,0,0,,,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,1,,0,0,,0,,,,0,,,0,0,0,0,0,,0,0,,,,,1,0,0,,0,,0,0,0,,0,0,,,0,,,,0,0,,0,0,0,,,,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,,0,,0,0,0,,0,0,0,,0,,0,,0,0,,0,0,,0,0,,,0,,1,,,,,,,,,,0,,,,0,0,0,1,0,,0,,
