PBcode,smiles
ID0051,OC([C@H]1C(C2C3C2)CCC3[C@@H]1NC4=NC(C5=NNC6=C5C=C(F)C=N6)=NN7C=CC=C47)=O
AS0333,CC(N1CCC(NC(C=C23)=CC=C2OCCN(C[C@@H](O)CN4CC5=C(CC4)C=CC=C5)C3=O)CC1)=O
PB14-202,CCC1=CC(NC2=CC(N(C3)CC43CCN(C(C)=O)CC4)=NC(C5=CC=CN=C5)=N2)=NC=C1
PB14-202,CCC1=CC(NC2=CC(N(C3)CC43CCN(C(C)=O)CC4)=NC(C5=CC=CN=C5)=N2)=NC=C1
PB14-200,O=C(C)N(CC1)CCC1(C2)CN2C3=NC(C4=CC=CN=C4)=NC(NC5=NC=CC(C#N)=C5)=C3
PB14-200,O=C(C)N(CC1)CCC1(C2)CN2C3=NC(C4=CC=CN=C4)=NC(NC5=NC=CC(C#N)=C5)=C3
PB14-231,CC(O)(C)CN1C=C(C2=NC(NC3=CC(OC(F)(F)F)=CC=N3)=CC(N4CC5(C4)CC(C(C)=O)CC5)=N2)C=N1
PB14-341,CN1C=C(C2=NC(NC3=CC(C4=CC=C5C(CCNC5=O)=C4)=CC=N3)=CC(N6CC7(CCN(C(C)=O)CC7)C6)=N2)C=N1
PB14-231,CC(O)(C)CN1C=C(C2=NC(NC3=CC(OC(F)(F)F)=CC=N3)=CC(N4CC5(C4)CC(C(C)=O)CC5)=N2)C=N1
PB14-255,CN(CC1)CCC1(C2)CN2C3=NC(C4=CN(N=C4)CC(O)(C)C)=NC(NC5=CC(OC(F)(F)F)=CC=N5)=C3
PB14-355,O=C(NC1=C(N2CC[C@@H](O)C2)N=C3C(OC(N4CCOCC4)=N3)=C1)C5=COC(C6=CC=NC(C)=C6)=N5
PB14-454,O=C1C(C=CC(C2=CC=NC(NC3=CC(N4CC5(C4)CCN(CC5)C)=NC(C6CCOCC6)=N3)=C2)=C7)=C7CN1
PB14-490,O=C1NCC2=CC(C3=CC=NC(NC4=CC(N5CCN(C6COC6)CC5)=NC(C7=CN(N=C7)CCN(C)C)=N4)=C3)=CC=C21
PB14-385,CN(N=C1)C=C1C2=NC(NC3=CC(C4=CC=C5C(C=NNC5=O)=C4)=CC=N3)=CC(N6CCOCC6)=N2
PB14-398,CC(CC1)(O)CCN1C2=NC(N3C[C@@H](CC3)O)=NC(NC4=CC(C5=CC=C6C(NCC6=C5)=O)=CC=N4)=C2
PB14-454,O=C1C(C=CC(C2=CC=NC(NC3=CC(N4CC5(C4)CCN(CC5)C)=NC(C6CCOCC6)=N3)=C2)=C7)=C7CN1
PB14-395,CN1CCN(CC1)C2=NC(NC3=CC(C(C=C4CN5)=CC=C4C5=O)=CC=N3)=CC(N6CC7(C6)CCN(CC7)C(C)=O)=N2
PB14-501,N1C(NC2N=C(N3CC(C3)O)N=C(C=2)N2CC3(CCN(CC3)C)C2)=CC(=CC=1)C1=CC=C2C(CNC2=O)=C1
PB14-502,N1C(NC2N=C(N=C(C=2)N2CC3(CCN(CC3)C)C2)C2CN(C)CC=2)=CC(=CC=1)C1=CC=C2C(CNC2=O)=C1
PB14-486,N(C1N=C(N2CCOCC2)N=C(C=1)N1CC(C1)1CCN(CC1)C)C1N=CC=C(C2=CC=C(C(OC)=C2)C(=O)N)C=1
PB14-496,F[C@H](C1)CCN1C2=NC(NC3=CC(C4=CC=C5C(CNC5=O)=C4)=CC=N3)=CC(N6CCN(C7COC7)CC6)=N2
PB14-504,N(C1=CC(=NC(=N1)C1=CN(CCN(C)C)N=C1)N1CCOCC1)C1N=CC=C(C=1)C1=CC=C2C(CNC2=O)=C1
PB25-089,FC(F)(F)C1=CC(NC2=CC=C(C)C(C(N3CC(F)(CC[C@@H]3CNC(C)=O)F)=O)=N2)=NC=C1
PB29-226,N(C)1C2=C(C(C3=CC(N4CC(OC)C4)=CC(S(=O)(=O)C)=C3)=C1)C=C(N=C2)NC(=O)C
PB29-265,OC1CN(C2C=C(C3C4=C(N(C)C=3)C=NC(NC(=O)C)=C4)C=C(S(C)(=O)=O)C=2)C1
PB30-003,N(C(=O)C)C1C=CC(=CC=1C)OC1C(C)=CN=C(NC2C=C3C(C(N(CC)C3=CC=2)=O)(C)C)N=1
PB30-004,O=C1C(C2=CC(NC3=NC=C(C(=N3)OC)C)=CC=C2N1CC)(C)C
PB30-014,O(C1=NC(NC2=CC=C(C=C2)C(C)(C)C)=NC2=C1C(C#N)=CN2)C1=CC=C2C(=C1)CCN(C(=O)C)C2
Myro01-001,O[C@@H]1CCCC[C@H]1NC2=NC3=CC=C(OC4=CC=NC(C(NC)=O)=C4)C=C3S2
Myro01-010,N1C(=CC(=CC=1)OC1=CC(OC)=C(C=C1)OCC1=CC=C(C=C1)OC)C(=O)NC
Myro01-088,N1C(OCC2=CC=C(C=N2)OC)=C(OC)C=C(CC2=CC=NC(=N2)C2=CN(C)N=C2)C=1
Myro01-039,N1C(N)=NC=C(CC2C=CC(=C(OC)C=2)OCC2C=CC(OC)=CC=2)C=1N
PB31-002,FC(F)(C1=CC(N2C[C@]3([H])[C@@]([H])([C@H]3CC(O)=O)C2)=NC(N4CC[C@@H]4C)=N1)F
PB31-039,O=C1N(CC2C(CC(O)=O)C21)C3=NC(N4CC[C@@H]4C)=NC(C(F)(F)F)=C3
Myro02-001,N(S(=O)(=O)C1C2=C(NC=1)N=C(C=C2)Cl)C1C(F)=CC(Br)=C(F)C=1
Myro02-007,O=S(NC1=C(C=C(Br)C(F)=C1)F)(=O)C1C2=C(NC=1)C(=O)N(C=C2)C
