UniProt,Group,Family,Name,Symbol,Prediction
O00141,AGC,SGK,Serine/threonine-protein kinase Sgk1 ,SGK1,0.0631
O00311,Other,CDC7,Cell division cycle 7-related protein kinase ,CDC7,0.4502
O00444,Other,PLK,Serine/threonine-protein kinase PLK4 ,PLK4,0.6529
O14920,Other,IKK,Inhibitor of nuclear factor kappa-B kinase subunit beta ,IKBKB,0.1245
O14965,Other,Aur,Aurora kinase A ,AURKA,0.1983
O15111,Other,IKK,Inhibitor of nuclear factor kappa-B kinase subunit alpha ,CHUK,0.3886
O15146,TK,Musk,"Muscle, skeletal receptor tyrosine-protein kinase ",MUSK,0.4418
O15264,CMGC,MAPK,Mitogen-activated protein kinase 13 ,MAPK13,0.2978
O43293,CAMK,DAPK,Death-associated protein kinase 3 ,DAPK3,0.5627
O43318,TKL,MLK,Mitogen-activated protein kinase kinase kinase 7 ,MAP3K7,0.4615
O43353,TKL,RIPK,Receptor-interacting serine/threonine-protein kinase 2 ,RIPK2,0.4716
O43781,CMGC,DYRK,Dual specificity tyrosine-phosphorylation-regulated kinase 3 ,DYRK3,0.4305
O60285,CAMK,CAMKL,NUAK family SNF1-like kinase 1 ,NUAK1,0.4076
O60674,TK,JakA,Tyrosine-protein kinase JAK2 ,JAK2,0.0774
O75116,AGC,DMPK,Rho-associated protein kinase 2 ,ROCK2,0.515
O75385,Other,ULK,Serine/threonine-protein kinase ULK1 ,ULK1,0.2236
O75460,Other,IRE,Serine/threonine-protein kinase/endoribonuclease IRE1 ,ERN1,0.3413
O75676,AGC,RSK,Ribosomal protein S6 kinase alpha-4 ,RPS6KA4,0.7021
O75716,Other,NAK,Serine/threonine-protein kinase 16 ,STK16,0.2841
O94804,STE,STE20,Serine/threonine-protein kinase 10 ,STK10,0.8706
O94806,CAMK,PKD,Serine/threonine-protein kinase D3 ,PRKD3,0.7179
O95819,STE,STE20,Mitogen-activated protein kinase kinase kinase kinase 4 ,MAP4K4,0.5803
O96013,STE,STE20,Serine/threonine-protein kinase PAK 4 ,PAK4,0.3
O96017,CAMK,RAD53,Serine/threonine-protein kinase Chk2 ,CHEK2,0.6904
P00519,TK,Abl,Tyrosine-protein kinase ABL1 ,ABL1,0.4904
P00533,TK,EGFR,Epidermal growth factor receptor ,EGFR,0.9246
P04049,TKL,RAF,RAF proto-oncogene serine/threonine-protein kinase ,RAF1,0.7057
P04626,TK,EGFR,Receptor tyrosine-protein kinase erbB-2 ,ERBB2,0.5577
P04629,TK,Trk,High affinity nerve growth factor receptor ,NTRK1,0.2353
P05129,AGC,PKC,Protein kinase C gamma type ,PRKCG,0.6676
P05771,AGC,PKC,Protein kinase C beta type ,PRKCB,0.5906
P06213,TK,InsR,Insulin receptor ,INSR,0.5587
P06239,TK,Src,Tyrosine-protein kinase Lck ,LCK,0.6782
P06241,TK,Src,Tyrosine-protein kinase Fyn ,FYN,0.2517
P06493,CMGC,CDK,Cyclin-dependent kinase 1 ,CDK1,0.3911
P07332,TK,Fer,Tyrosine-protein kinase Fes/Fps ,FES,0.5895
P07333,TK,PDGFR,Macrophage colony-stimulating factor 1 receptor ,CSF1R,0.3136
P07947,TK,Src,Tyrosine-protein kinase Yes ,YES1,0.7017
P07948,TK,Src,Tyrosine-protein kinase Lyn ,LYN,0.56
P07949,TK,Ret,Proto-oncogene tyrosine-protein kinase receptor Ret ,RET,0.3641
P08069,TK,InsR,Insulin-like growth factor 1 receptor ,IGF1R,0.0503
P08581,TK,Met,Hepatocyte growth factor receptor ,MET,0.0267
P08631,TK,Src,Tyrosine-protein kinase HCK ,HCK,0.3668
P08922,TK,Sev,Proto-oncogene tyrosine-protein kinase ROS ,ROS1,0.4782
P09619,TK,PDGFR,Platelet-derived growth factor receptor beta ,PDGFRB,0.5681
P09769,TK,Src,Tyrosine-protein kinase Fgr ,FGR,0.3563
P10721,TK,PDGFR,Mast/stem cell growth factor receptor Kit ,KIT,0.1091
P11309,CAMK,PIM,Serine/threonine-protein kinase pim-1 ,PIM1,0.3376
P11362,TK,FGFR,Fibroblast growth factor receptor 1 ,FGFR1,0.3411
P11802,CMGC,CDK,Cyclin-dependent kinase 4 ,CDK4,0.067
P12931,TK,Src,Proto-oncogene tyrosine-protein kinase Src ,SRC,0.397
P15735,CAMK,PHK,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform ",PHKG2,0.2816
P16234,TK,PDGFR,Platelet-derived growth factor receptor alpha ,PDGFRA,0.2452
P16591,TK,Fer,Tyrosine-protein kinase Fer ,FER,0.6574
P17252,AGC,PKC,Protein kinase C alpha type ,PRKCA,0.6135
P17612,AGC,PKA,cAMP-dependent protein kinase catalytic subunit alpha ,PRKACA,0.4706
P17948,TK,VEGFR,Vascular endothelial growth factor receptor 1 ,FLT1,0.2843
P19784,CMGC,CK2,Casein kinase II subunit alpha' ,CSNK2A2,0.1802
P22607,TK,FGFR,Fibroblast growth factor receptor 3 ,FGFR3,0.1818
P23443,AGC,RSK,Ribosomal protein S6 kinase beta-1 ,RPS6KB1,0.3809
P24941,CMGC,CDK,Cyclin-dependent kinase 2 ,CDK2,0.1359
P27448,CAMK,CAMKL,MAP/microtubule affinity-regulating kinase 3 ,MARK3,0.3225
P28482,CMGC,MAPK,Mitogen-activated protein kinase 1 ,MAPK1,0.0824
P29317,TK,Eph,Ephrin type-A receptor 2 ,EPHA2,0.0896
P29376,TK,ALK,Leukocyte tyrosine kinase receptor ,LTK,0.7701
P29597,TK,JakA,Non-receptor tyrosine-protein kinase TYK2 ,TYK2,0.0431
P30291,Other,WEE,Wee1-like protein kinase ,WEE1,0.2541
P30530,TK,Axl,Tyrosine-protein kinase receptor UFO ,AXL,0.8018
P31749,AGC,Akt,RAC-alpha serine/threonine-protein kinase ,AKT1,0.069
P31751,AGC,Akt,RAC-beta serine/threonine-protein kinase ,AKT2,0.0572
P33981,Other,TTK,Dual specificity protein kinase TTK ,TTK,0.433
P34947,AGC,GRK,G protein-coupled receptor kinase 5 ,GRK5,0.1954
P35916,TK,VEGFR,Vascular endothelial growth factor receptor 3 ,FLT4,0.4631
P35968,TK,VEGFR,Vascular endothelial growth factor receptor 2 ,KDR,0.3956
P36507,STE,STE7,Dual specificity mitogen-activated protein kinase kinase 2 ,MAP2K2,0.5595
P36888,TK,PDGFR,Receptor-type tyrosine-protein kinase FLT3 ,FLT3,0.4668
P36897,TKL,STKR,TGF-beta receptor type-1 ,TGFBR1,0.0533
P37023,TKL,STKR,Serine/threonine-protein kinase receptor R3 ,ACVRL1,0.4188
P37173,TKL,STKR,TGF-beta receptor type-2 ,TGFBR2,0.1581
P41240,TK,Csk,Tyrosine-protein kinase CSK ,CSK,0.5177
P41279,STE,STE-Unique,Mitogen-activated protein kinase kinase kinase 8 ,MAP3K8,0.0628
P41743,AGC,PKC,Protein kinase C iota type ,PRKCI,0.1537
P42680,TK,Tec,Tyrosine-protein kinase Tec ,TEC,0.633
P42681,TK,Tec,Tyrosine-protein kinase TXK ,TXK,0.8462
P42684,TK,Abl,Tyrosine-protein kinase ABL2 ,ABL2,0.687
P42685,TK,Src,Tyrosine-protein kinase FRK ,FRK,0.77
P43405,TK,Syk,Tyrosine-protein kinase SYK ,SYK,0.5132
P45983,CMGC,MAPK,Mitogen-activated protein kinase 8 ,MAPK8,0.2546
P45984,CMGC,MAPK,Mitogen-activated protein kinase 9 ,MAPK9,0.1645
P48729,CK1,CK1,Casein kinase I isoform alpha ,CSNK1A1,0.169
P48730,CK1,CK1,Casein kinase I isoform delta ,CSNK1D,0.0634
P49336,CMGC,CDK,Cyclin-dependent kinase 8 ,CDK8,0.1367
P49674,CK1,CK1,Casein kinase I isoform epsilon ,CSNK1E,0.2865
P49759,CMGC,CLK,Dual specificity protein kinase CLK1 ,CLK1,0.5197
P49760,CMGC,CLK,Dual specificity protein kinase CLK2 ,CLK2,0.3057
P49840,CMGC,GSK,Glycogen synthase kinase-3 alpha ,GSK3A,0.3408
P49841,CMGC,GSK,Glycogen synthase kinase-3 beta ,GSK3B,0.352
P50613,CMGC,CDK,Cyclin-dependent kinase 7 ,CDK7,0.1327
P51451,TK,Src,Tyrosine-protein kinase Blk ,BLK,0.8631
P51617,TKL,IRAK,Interleukin-1 receptor-associated kinase 1 ,IRAK1,0.6719
P51813,TK,Tec,Cytoplasmic tyrosine-protein kinase BMX ,BMX,0.7253
P51817,AGC,PKA,cAMP-dependent protein kinase catalytic subunit PRKX ,PRKX,0.5538
P51955,Other,NEK,Serine/threonine-protein kinase Nek2 ,NEK2,0.6445
P51957,Other,NEK,Serine/threonine-protein kinase Nek4 ,NEK4,0.5118
P52333,TK,JakA,Tyrosine-protein kinase JAK3 ,JAK3,0.1138
P53350,Other,PLK,Serine/threonine-protein kinase PLK1 ,PLK1,0.4839
P53667,TKL,LISK,LIM domain kinase 1 ,LIMK1,0.5656
P53779,CMGC,MAPK,Mitogen-activated protein kinase 10 ,MAPK10,0.2745
P54760,TK,Eph,Ephrin type-B receptor 4 ,EPHB4,0.5495
P78527,Atypical,PIKK,DNA-dependent protein kinase catalytic subunit ,PRKDC,0.4337
P80192,TKL,MLK,Mitogen-activated protein kinase kinase kinase 9 ,MAP3K9,0.4422
Q00526,CMGC,CDK,Cyclin-dependent kinase 3 ,CDK3,0.2577
Q00534,CMGC,CDK,Cyclin-dependent kinase 6 ,CDK6,0.1738
Q00535,CMGC,CDK,Cyclin-dependent-like kinase 5 ,CDK5,0.3699
Q02156,AGC,PKC,Protein kinase C epsilon type ,PRKCE,0.6162
Q02750,STE,STE7,Dual specificity mitogen-activated protein kinase kinase 1 ,MAP2K1,0.4145
Q02763,TK,Tie,Angiopoietin-1 receptor ,TEK,0.4081
Q04759,AGC,PKC,Protein kinase C theta type ,PRKCQ,0.7854
Q04771,TKL,STKR,Activin receptor type-1 ,ACVR1,0.1792
Q05397,TK,FAK,Focal adhesion kinase 1 ,PTK2,0.2517
Q05513,AGC,PKC,Protein kinase C zeta type ,PRKCZ,0.4702
Q05655,AGC,PKC,Protein kinase C delta type ,PRKCD,0.7205
Q06418,TK,Axl,Tyrosine-protein kinase receptor TYRO3 ,TYRO3,0.4258
Q07912,TK,Ack,Activated CDC42 kinase 1 ,TNK2,0.4936
Q08881,TK,Tec,Tyrosine-protein kinase ITK/TSK ,ITK,0.4924
Q12851,STE,STE20,Mitogen-activated protein kinase kinase kinase kinase 2 ,MAP4K2,0.7657
Q12866,TK,Axl,Tyrosine-protein kinase Mer ,MERTK,0.4893
Q13043,STE,STE20,Serine/threonine-protein kinase 4 ,STK4,0.6407
Q13131,CAMK,CAMKL,5'-AMP-activated protein kinase catalytic subunit alpha-1 ,PRKAA1,0.7387
Q13153,STE,STE20,Serine/threonine-protein kinase PAK 1 ,PAK1,0.588
Q13188,STE,STE20,Serine/threonine-protein kinase 3 ,STK3,0.8504
Q13237,AGC,PKG,cGMP-dependent protein kinase 2 ,PRKG2,0.2283
Q13315,Atypical,PIKK,Serine-protein kinase ATM ,ATM,0.2859
Q13418,TKL,MLK,Integrin-linked protein kinase ,ILK,0.0745
Q13464,AGC,DMPK,Rho-associated protein kinase 1 ,ROCK1,0.2601
Q13535,Atypical,PIKK,Serine/threonine-protein kinase ATR ,ATR,0.2235
Q13555,CAMK,CAMK2,Calcium/calmodulin-dependent protein kinase type II subunit gamma ,CAMK2G,0.4952
Q13557,CAMK,CAMK2,Calcium/calmodulin-dependent protein kinase type II subunit delta ,CAMK2D,0.3377
Q13627,CMGC,DYRK,Dual specificity tyrosine-phosphorylation-regulated kinase 1A ,DYRK1A,0.1102
Q13882,TK,Src,Protein-tyrosine kinase 6 ,PTK6,0.3812
Q13976,AGC,PKG,cGMP-dependent protein kinase 1 ,PRKG1,0.27
Q14164,Other,IKK,Inhibitor of nuclear factor kappa-B kinase subunit epsilon ,IKBKE,0.0509
Q14289,TK,FAK,Protein-tyrosine kinase 2-beta ,PTK2B,0.6398
Q14680,CAMK,CAMKL,Maternal embryonic leucine zipper kinase ,MELK,0.2048
Q15118,Atypical,PDHK,[Pyruvate dehydrogenase ,PDK1,0.213
Q15119,Atypical,PDHK,[Pyruvate dehydrogenase ,PDK2,0.3567
Q15139,CAMK,PKD,Serine/threonine-protein kinase D1 ,PRKD1,0.7465
Q15303,TK,EGFR,Receptor tyrosine-protein kinase erbB-4 ,ERBB4,0.7786
Q15349,AGC,RSK,Ribosomal protein S6 kinase alpha-2 ,RPS6KA2,0.6356
Q15418,AGC,RSK,Ribosomal protein S6 kinase alpha-1 ,RPS6KA1,0.3153
Q15746,CAMK,MLCK,"Myosin light chain kinase, smooth muscle ",MYLK,0.5329
Q15759,CMGC,MAPK,Mitogen-activated protein kinase 11 ,MAPK11,0.5306
Q16288,TK,Trk,NT-3 growth factor receptor ,NTRK3,0.4416
Q16512,AGC,PKN,Serine/threonine-protein kinase N1 ,PKN1,0.7076
Q16513,AGC,PKN,Serine/threonine-protein kinase N2 ,PKN2,0.8626
Q16539,CMGC,MAPK,Mitogen-activated protein kinase 14 ,MAPK14,0.3572
Q16584,TKL,MLK,Mitogen-activated protein kinase kinase kinase 11 ,MAP3K11,0.4728
Q16620,TK,Trk,BDNF/NT-3 growth factors receptor ,NTRK2,0.3154
Q16816,CAMK,PHK,"Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform ",PHKG1,0.3037
Q16832,TK,DDR,Discoidin domain-containing receptor 2 ,DDR2,0.6484
