Canonical_Smiles,UniProt,Group,Family,Name,Symbol,Prediction
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O00141,AGC,SGK,Serine/threonine-protein kinase Sgk1 ,SGK1,0.7993
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O00311,Other,CDC7,Cell division cycle 7-related protein kinase ,CDC7,0.4015
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O00444,Other,PLK,Serine/threonine-protein kinase PLK4 ,PLK4,0.9362
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O14920,Other,IKK,Inhibitor of nuclear factor kappa-B kinase subunit beta ,IKBKB,0.2567
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O14965,Other,Aur,Aurora kinase A ,AURKA,0.8663
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O15111,Other,IKK,Inhibitor of nuclear factor kappa-B kinase subunit alpha ,CHUK,0.6726
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O15146,TK,Musk,"Muscle, skeletal receptor tyrosine-protein kinase ",MUSK,0.7602
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O15264,CMGC,MAPK,Mitogen-activated protein kinase 13 ,MAPK13,0.7961
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O43293,CAMK,DAPK,Death-associated protein kinase 3 ,DAPK3,0.6659
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O43318,TKL,MLK,Mitogen-activated protein kinase kinase kinase 7 ,MAP3K7,0.6863
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O43353,TKL,RIPK,Receptor-interacting serine/threonine-protein kinase 2 ,RIPK2,0.895
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O43781,CMGC,DYRK,Dual specificity tyrosine-phosphorylation-regulated kinase 3 ,DYRK3,0.7755
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O60285,CAMK,CAMKL,NUAK family SNF1-like kinase 1 ,NUAK1,0.8875
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O60674,TK,JakA,Tyrosine-protein kinase JAK2 ,JAK2,0.8225
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O75116,AGC,DMPK,Rho-associated protein kinase 2 ,ROCK2,0.3227
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O75385,Other,ULK,Serine/threonine-protein kinase ULK1 ,ULK1,0.7758
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O75460,Other,IRE,Serine/threonine-protein kinase/endoribonuclease IRE1 ,ERN1,0.7572
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O75676,AGC,RSK,Ribosomal protein S6 kinase alpha-4 ,RPS6KA4,0.8553
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O75716,Other,NAK,Serine/threonine-protein kinase 16 ,STK16,0.9203
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O94804,STE,STE20,Serine/threonine-protein kinase 10 ,STK10,0.8185
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O94806,CAMK,PKD,Serine/threonine-protein kinase D3 ,PRKD3,0.962
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O95819,STE,STE20,Mitogen-activated protein kinase kinase kinase kinase 4 ,MAP4K4,0.7454
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O96013,STE,STE20,Serine/threonine-protein kinase PAK 4 ,PAK4,0.5472
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,O96017,CAMK,RAD53,Serine/threonine-protein kinase Chk2 ,CHEK2,0.5865
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,P00519,TK,Abl,Tyrosine-protein kinase ABL1 ,ABL1,0.9887
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,P00533,TK,EGFR,Epidermal growth factor receptor ,EGFR,0.7189
COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,P04049,TKL,RAF,RAF proto-oncogene serine/threonine-protein kinase ,RAF1,0.6454
